HMDB	name	chemical_formula	average_molecular_weight	kegg_id
HMDB0000425	3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid	C9H16O9	268.2179	
HMDB0000426	Citramalic acid	C5H8O5	148.114	C00815
HMDB0000427	3b,7b,12a-Trihydroxy-5a-Cholanoic acid	C24H40O5	408.5714	
HMDB0000428	3-Hydroxyglutaric acid	C5H8O5	148.114	
HMDB0000429	17alpha-Estradiol	C18H24O2	272.382	C02537
HMDB0000430	24,25-Dihydroxyvitamin D	C27H44O3	416.6365	
HMDB0000431	16,17-Epiestriol	C18H24O3	288.3814	
HMDB0000432	3a,7b,12a-Trihydroxy-5a-Cholanoic acid	C24H40O5	408.5714	C02373
HMDB0000433	1,3,7,12-Tetrahydroxycholan-24-oic acid	C24H40O6	424.5708	
HMDB0000434	Homoveratric acid	C10H12O4	196.1999	
HMDB0000437	3a,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid	C24H40O6	424.5708	
HMDB0000438	3b,12a-Dihydroxy-5b-cholanoic acid	C24H40O4	392.572	
HMDB0000439	2-Furoylglycine	C7H7NO4	169.1348	
HMDB0000440	3-Hydroxyphenylacetic acid	C8H8O3	152.1473	C05593
HMDB0000442	(S)-3-Hydroxybutyric acid	C4H8O3	104.1045	C03197
HMDB0000444	3-Furoic acid	C5H4O3	112.0835	
HMDB0000445	Alpha-Tetrasaccharide	C26H45NO20	691.6302	C06768
HMDB0000446	N-alpha-Acetyl-L-lysine	C8H16N2O3	188.227	C12989
HMDB0000447	7a,12a-Dihydroxy-3-oxo-4-cholenoic acid	C24H36O5	404.5396	C15568
HMDB0000448	Adipic acid	C6H10O4	146.1412	C06104
HMDB0000449	5a-Tetrahydrocorticosterone	C21H34O4	350.4923	
HMDB0000450	5-Hydroxylysine	C6H14N2O3	162.187	C16741
HMDB0000451	cis-4-Hydroxycyclohexylacetic acid	C8H14O3	158.195	
HMDB0000452	L-alpha-Aminobutyric acid	C4H9NO2	103.1198	C02356
HMDB0000453	delta-Hexanolactone	C6H10O2	114.1424	
HMDB0000455	Allocystathionine	C7H14N2O4S	222.262	
HMDB0000458	5alpha-Androstane-3alpha,17alpha-diol	C19H32O2	292.4562	
HMDB0000459	3-Methylcrotonylglycine	C7H11NO3	157.1671	
HMDB0000460	7-Hydroxy-3-oxocholanoic acid	C24H38O4	390.5561	
HMDB0000462	Allantoin	C4H6N4O3	158.1154	C01551
HMDB0000464	Calcium	Ca	40.078	C00076
HMDB0000466	3-Methylindole	C9H9N	131.1745	C08313
HMDB0000467	Nutriacholic acid	C24H38O4	390.5561	
HMDB0000468	Biopterin	C9H11N5O3	237.2153	C06313
HMDB0000469	5-Hydroxymethyluracil	C5H6N2O3	142.1127	C03088
HMDB0000472	5-Hydroxy-L-tryptophan	C11H12N2O3	220.2246	C00643
HMDB0000473	6-Dimethylaminopurine	C7H9N5	163.1799	
HMDB0000474	Butanone	C4H8O	72.1057	C02845
HMDB0000476	3-Oxo-4,6-choladienoic acid	C24H34O3	370.525	
HMDB0000477	7Z,10Z-Hexadecadienoic acid	C16H28O2	252.3923	
HMDB0000478	Allodeoxycholic acid	C24H40O4	392.572	
HMDB0000479	3-Methylhistidine	C7H11N3O2	169.1811	C01152
HMDB0000481	Allopurinol riboside	C10H12N4O5	268.2261	
HMDB0000482	Caprylic acid	C8H16O2	144.2114	C06423
HMDB0000483	5b-Cholestane-3a,7a,12a,23S,25-pentol	C27H48O5	452.667	
HMDB0000484	Vanillic acid	C8H8O4	168.148	C06672
HMDB0000486	7-Hydroxyoctanoic acid	C8H16O3	160.2108	
HMDB0000488	(4E,15Z)-Bilirubin	C33H36N4O6	584.6621	
HMDB0000489	Aspartylglycosamine	C12H21N3O8	335.3104	C04540
HMDB0000490	Etiocholanolone	C19H30O2	290.4403	C04373
HMDB0000491	3-Methyl-2-oxovaleric acid	C6H10O3	130.1418	C00671
HMDB0000492	Chloride ion	Cl	35.453	C00698
HMDB0000493	5alpha-Androstane-3beta,17beta-diol	C19H32O2	292.4562	C12525
HMDB0000494	Stigmastanol	C29H52O	416.734	C11682
HMDB0000495	Androstanediol	C19H32O2	292.4562	
HMDB0000496	3-Methoxy-4-hydroxyphenylglycol glucuronide	C15H20O10	360.3133	C03033
HMDB0000497	5,6-Dihydrouridine	C9H14N2O6	246.2173	
HMDB0000498	4-Deoxyerythronic acid	C4H8O4	120.1039	
HMDB0000499	5-Tetradecenoic acid	C14H26O2	226.355	
HMDB0000500	4-Hydroxybenzoic acid	C7H6O3	138.122	C00156
HMDB0000501	7-Ketocholesterol	C27H44O2	400.6371	
HMDB0000502	3-Oxocholic acid	C24H38O5	406.563	
HMDB0000503	7alpha-Hydroxy-3-oxo-5beta-cholan-24-oic acid	C24H38O4	390.564	
