HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0090752,CL(i-14:0/i-13:0/i-14:0/a-17:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,BAZSAQMAPJFNKF-DPVUWJHFSA-N,C67H130O17P2,1269.708,1268.878326722
HMDB0090753,"CL(i-14:0/i-13:0/i-14:0/18:2(9Z,11Z))",[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCC\C=C/C=C\CCCCCC,BPFWZTSNDBWPCG-GZKGRJDDSA-N,C68H128O17P2,1279.703,1278.862676658
HMDB0090754,"CL(i-14:0/a-13:0/i-14:0/18:2(9Z,11Z))[rac]",[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCC\C=C/C=C\CCCCCC,SKGKFTYIANOHQL-OMLBYEDCSA-N,C68H128O17P2,1279.703,1278.862676658
HMDB0090755,CL(i-14:0/i-13:0/i-14:0/i-18:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,JCVSRDYDZQFWLB-IIVRGTDNSA-N,C68H132O17P2,1283.735,1282.893976786
HMDB0090756,CL(i-14:0/a-13:0/i-14:0/i-18:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,POXMUKWLAJKRGO-QFLSEQQCSA-N,C68H132O17P2,1283.735,1282.893976786
HMDB0090757,CL(i-14:0/i-13:0/i-14:0/i-19:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,APWKKOSITKCOSV-OYOCQJCHSA-N,C69H134O17P2,1297.762,1296.909626851
HMDB0090758,CL(i-14:0/a-13:0/i-14:0/i-19:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,XOSLAGYKFIIUAL-HSOQKSLCSA-N,C69H134O17P2,1297.762,1296.909626851
HMDB0090759,CL(i-14:0/i-13:0/i-14:0/i-20:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,ICNLHWWNMPRUIV-GLFGWPNBSA-N,C70H136O17P2,1311.789,1310.925276915
HMDB0090760,CL(i-14:0/a-13:0/i-14:0/i-20:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,VVJGNSQAZSGPQL-DNPRRJKTSA-N,C70H136O17P2,1311.789,1310.925276915
HMDB0090761,CL(i-14:0/a-13:0/i-14:0/a-21:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,PIIBXRPADWQGAU-VKIXXVAZSA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090762,CL(i-14:0/i-13:0/i-14:0/i-21:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,QEGZKTLETSPWGK-WWKUUFCESA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090763,CL(i-14:0/a-13:0/i-14:0/i-21:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,LTVSKLCVBJVAFY-OGILQYNYSA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090764,CL(i-14:0/i-13:0/i-14:0/a-21:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,HMFNOJRWIJNSAF-OGILQYNYSA-N,C71H138O17P2,1325.816,1324.94092698
HMDB0090765,CL(i-14:0/i-13:0/i-14:0/i-22:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,ZDMJEFIKKSHZBR-ODOYRBSSSA-N,C72H140O17P2,1339.843,1338.956577044
HMDB0090766,CL(i-14:0/a-13:0/i-14:0/i-22:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,MGSJWGPCXAEYMO-CNXFOIRDSA-N,C72H140O17P2,1339.843,1338.956577044
HMDB0090767,CL(i-14:0/i-13:0/i-14:0/i-24:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,OJRXVKUQBGHJKH-CRUFNAILSA-N,C74H144O17P2,1367.897,1366.987877173
HMDB0090768,CL(i-14:0/a-13:0/i-14:0/i-24:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,HLHFRNCRRWFKCM-GUERLEBKSA-N,C74H144O17P2,1367.897,1366.987877173
HMDB0090769,CL(i-14:0/a-13:0/i-14:0/a-25:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,FNVCMOUIIRGIEC-LDCDTRRZSA-N,C75H146O17P2,1381.924,1381.003527237
